level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	6	1	1	6	1575	4306	69	66	46.317898	&
5	1	6	1	1	7	1741	4304	67	63	62.296387	3
4	1	6	1	2	0	578	4522	1617	85	-1	
5	1	6	1	2	1	578	4525	138	62	90.608521	First
5	1	6	1	2	2	759	4523	360	83	92.109703	paperback
5	1	6	1	2	3	1155	4523	250	67	89.582184	edition
5	1	6	1	2	4	1440	4522	342	85	91.027252	published
5	1	6	1	2	5	1817	4532	61	57	91.027252	in
5	1	6	1	2	6	1916	4524	159	66	95.367424	2001
5	1	6	1	2	7	2121	4522	74	80	96.522270	by
2	1	7	0	0	0	576	4632	1733	183	-1	
3	1	7	1	0	0	576	4632	1733	183	-1	
4	1	7	1	1	0	576	4632	1020	78	-1	
5	1	7	1	1	1	576	4632	273	73	89.527885	Sterling
5	1	7	1	1	2	886	4633	368	77	91.340828	Publishing
5	1	7	1	1	3	1285	4638	145	66	88.977806	Co.,
5	1	7	1	1	4	1469	4635	127	65	91.057182	Inc.
4	1	7	1	2	0	589	4743	1720	72	-1	
5	1	7	1	2	1	589	4745	107	66	84.900795	387
5	1	7	1	2	2	737	4743	148	65	91.042160	Park
5	1	7	1	2	3	924	4747	273	63	90.014984	Avenue
5	1	7	1	2	4	1233	4743	231	72	88.516815	South,
5	1	7	1	2	5	1500	4746	161	65	90.158302	New
5	1	7	1	2	6	1696	4743	179	72	85.562843	York,
5	1	7	1	2	7	1911	4745	142	65	91.235855	N.Y.
5	1	7	1	2	8	2102	4744	207	67	96.098358	10016
2	1	8	0	0	0	2766	4229	342	176	-1	
3	1	8	1	0	0	2766	4229	342	176	-1	
4	1	8	1	1	0	2766	4229	342	67	-1	
5	1	8	1	1	1	2766	4229	342	67	91.496193	99-20386
4	1	8	1	2	0	2900	4340	139	65	-1	
5	1	8	1	2	1	2900	4340	139	65	89.266312	CIP
2	1	9	0	0	0	3834	1752	714	87	-1	
3	1	9	1	0	0	3834	1752	714	87	-1	
4	1	9	1	1	0	3834	1752	714	87	-1	
5	1	9	1	1	1	3834	1752	246	69	88.977539	Metric
5	1	9	1	1	2	4111	1753	437	86	92.109207	Equivalents
2	1	10	0	0	0	3839	1940	105	42	-1	
3	1	10	1	0	0	3839	1940	105	42	-1	
4	1	10	1	1	0	3839	1940	105	42	-1	
5	1	10	1	1	1	3839	1940	105	42	80.454117	cm
2	1	11	0	0	0	3819	2051	151	2261	-1	
3	1	11	1	0	0	3819	2051	151	2261	-1	
4	1	11	1	1	0	3850	2051	105	67	-1	
5	1	11	1	1	1	3850	2051	105	67	96.799339	0.3
4	1	11	1	2	0	3850	2160	109	67	-1	
5	1	11	1	2	1	3850	2160	109	67	96.755333	0.6
4	1	11	1	3	0	3863	2269	98	67	-1	
5	1	11	1	3	1	3863	2269	98	67	96.415710	1.0
4	1	11	1	4	0	3865	2377	93	67	-1	
5	1	11	1	4	1	3865	2377	93	67	90.677116	1.3
4	1	11	1	5	0	3866	2489	95	64	-1	
5	1	11	1	5	1	3866	2489	95	64	89.570587	1.6
4	1	11	1	6	0	3865	2596	98	66	-1	
5	1	11	1	6	1	3865	2596	98	66	96.610275	1.9
4	1	11	1	7	0	3859	2705	100	67	-1	
5	1	11	1	7	1	3859	2705	100	67	95.840805	2.5
4	1	11	1	8	0	3865	2815	93	67	-1	
5	1	11	1	8	1	3865	2815	93	67	94.275528	3.2
4	1	11	1	9	0	3865	2925	97	67	-1	
5	1	11	1	9	1	3865	2925	97	67	95.856323	3.8
4	1	11	1	10	0	3856	3037	107	68	-1	
5	1	11	1	10	1	3856	3037	107	68	88.009140	4.4
4	1	11	1	11	0	3862	3144	91	66	-1	
5	1	11	1	11	1	3862	3144	91	66	94.276649	5.1
4	1	11	1	12	0	3858	3256	106	68	-1	
5	1	11	1	12	1	3858	3256	106	68	96.342010	6.4
4	1	11	1	13	0	3862	3364	104	70	-1	
5	1	11	1	13	1	3862	3364	104	70	95.150108	1.6
4	1	11	1	14	0	3859	3474	107	66	-1	
5	1	11	1	14	1	3859	3474	107	66	96.735107	8.9
4	1	11	1	15	0	3826	3583	137	68	-1	
5	1	11	1	15	1	3826	3583	137	68	91.938271	10.2
4	1	11	1	16	0	3827	3696	140	70	-1	
5	1	11	1	16	1	3827	3696	140	70	85.826492	11.4
4	1	11	1	17	0	3826	3804	138	70	-1	
5	1	11	1	17	1	3826	3804	138	70	92.531837	12.7
4	1	11	1	18	0	3827	3914	138	67	-1	
5	1	11	1	18	1	3827	3914	138	67	92.754242	15.2
4	1	11	1	19	0	3827	4025	141	70	-1	
5	1	11	1	19	1	3827	4025	141	70	92.191078	17.8
4	1	11	1	20	0	3820	4134	146	68	-1	
5	1	11	1	20	1	3820	4134	146	68	92.977463	20.3
4	1	11	1	21	0	3819	4244	151	68	-1	
5	1	11	1	21	1	3819	4244	151	68	0.000000	2.9
2	1	12	0	0	0	4269	1916	229	70	-1	
3	1	12	1	0	0	4269	1916	229	70	-1	
4	1	12	1	1	0	4269	1916	229	70	-1	
5	1	12	1	1	1	4269	1916	229	70	92.207153	Inches
2	1	13	0	0	0	4278	2053	88	2257	-1	
3	1	13	1	0	0	4278	2053	88	2257	-1	
4	1	13	1	1	0	4278	2053	75	67	-1	
5	1	13	1	1	1	4278	2053	75	67	96.341713	10
4	1	13	1	2	0	4279	2164	64	64	-1	
5	1	13	1	2	1	4279	2164	64	64	85.953690	11
4	1	13	1	3	0	4281	2270	69	67	-1	
5	1	13	1	3	1	4281	2270	69	67	92.486259	12
4	1	13	1	4	0	4281	2379	71	66	-1	
5	1	13	1	4	1	4281	2379	71	66	95.755203	13
4	1	13	1	5	0	4282	2491	74	68	-1	
5	1	13	1	5	1	4282	2491	74	68	85.622963	14
4	1	13	1	6	0	4284	2597	69	67	-1	
5	1	13	1	6	1	4284	2597	69	67	93.871666	15
4	1	13	1	7	0	4284	2708	73	64	-1	
5	1	13	1	7	1	4284	2708	73	64	95.905701	16
4	1	13	1	8	0	4285	2816	70	70	-1	
5	1	13	1	8	1	4285	2816	70	70	92.833778	17
4	1	13	1	9	0	4286	2926	71	66	-1	
5	1	13	1	9	1	4286	2926	71	66	81.442688	18
4	1	13	1	10	0	4287	3034	73	66	-1	
5	1	13	1	10	1	4287	3034	73	66	95.039253	19
4	1	13	1	11	0	4279	3144	81	68	-1	
5	1	13	1	11	1	4279	3144	81	68	96.610367	20
4	1	13	1	12	0	4280	3254	70	67	-1	
5	1	13	1	12	1	4280	3254	70	67	84.319633	21
4	1	13	1	13	0	4280	3363	78	68	-1	
5	1	13	1	13	1	4280	3363	78	68	96.562088	22
4	1	13	1	14	0	4280	3473	79	67	-1	
5	1	13	1	14	1	4280	3473	79	67	95.952164	23
4	1	13	1	15	0	4281	3583	81	71	-1	
5	1	13	1	15	1	4281	3583	81	71	96.618042	24
4	1	13	1	16	0	4281	3693	79	67	-1	
5	1	13	1	16	1	4281	3693	79	67	96.464226	25
4	1	13	1	17	0	4282	3803	82	67	-1	
5	1	13	1	17	1	4282	3803	82	67	96.825294	26
4	1	13	1	18	0	4282	3913	79	71	-1	
5	1	13	1	18	1	4282	3913	79	71	79.109695	21
4	1	13	1	19	0	4282	4023	82	67	-1	
5	1	13	1	19	1	4282	4023	82	67	94.482300	28
4	1	13	1	20	0	4284	4133	81	67	-1	
5	1	13	1	20	1	4284	4133	81	67	96.942062	29
4	1	13	1	21	0	4287	4243	79	67	-1	
5	1	13	1	21	1	4287	4243	79	67	96.667595	30
2	1	14	0	0	0	3288	1630	1819	2827	-1	
3	1	14	1	0	0	3288	1630	1819	2827	-1	
4	1	14	1	1	0	3288	1630	1819	2827	-1	
5	1	14	1	1	1	3288	1630	1819	2827	95.000000	 
2	1	15	0	0	0	573	4842	3912	202	-1	
3	1	15	1	0	0	573	4842	3912	202	-1	
4	1	15	1	1	0	573	4842	3912	95	-1	
5	1	15	1	1	1	573	4853	353	73	90.582222	Originally
5	1	15	1	1	2	962	4853	340	84	92.438622	published
5	1	15	1	1	3	1338	4864	61	56	92.566978	in
5	1	15	1	1	4	1432	4859	331	75	92.850357	Germany
5	1	15	1	1	5	1796	4854	75	80	93.300026	by
5	1	15	1	1	6	1907	4852	779	82	91.740372	Urania-Ravensburger
5	1	15	1	1	7	2719	4852	207	68	92.247078	under
5	1	15	1	1	8	2959	4851	110	69	93.070396	the
5	1	15	1	1	9	3104	4850	137	69	92.536446	title
5	1	15	1	1	10	3275	4852	128	66	91.328560	Das
5	1	15	1	1	11	3431	4848	183	86	88.578377	grofe
5	1	15	1	1	12	3646	4846	459	87	90.600952	Ravensburger
5	1	15	1	1	13	4132	4842	353	74	90.357635	Strickbuch
4	1	15	1	2	0	589	4960	3235	84	-1	
5	1	15	1	2	1	589	4989	7	20	60.840530	C
5	1	15	1	2	2	687	4965	158	63	76.172226	1996
5	1	15	1	2	3	879	4964	72	66	93.282875	by
5	1	15	1	2	4	988	4964	774	80	86.814713	Urania-Ravensburger
5	1	15	1	2	5	1795	4974	63	57	91.609070	in
5	1	15	1	2	6	1894	4964	110	67	91.802711	the
5	1	15	1	2	7	2041	4965	279	67	91.599480	Dornier
5	1	15	1	2	8	2353	4961	551	82	91.022896	Medienholding
5	1	15	1	2	9	2934	4960	244	69	91.151947	GmbH
5	1	15	1	2	10	3214	4960	234	77	90.998848	Berlin,
5	1	15	1	2	11	3480	4962	344	80	90.998848	Germany.
2	1	16	0	0	0	578	5073	2150	83	-1	
3	1	16	1	0	0	578	5073	2150	83	-1	
4	1	16	1	1	0	578	5073	2150	83	-1	
5	1	16	1	1	1	578	5073	251	71	91.846107	English
5	1	16	1	1	2	867	5074	382	66	89.885078	translation
5	1	16	1	1	3	1288	5094	50	39	89.914360	©
5	1	16	1	1	4	1397	5076	161	64	96.455170	1999
5	1	16	1	1	5	1590	5074	75	82	93.284767	by
5	1	16	1	1	6	1699	5074	280	81	88.648979	Sterling
5	1	16	1	1	7	2014	5073	373	81	90.713478	Publishing
5	1	16	1	1	8	2416	5076	146	70	91.322708	Co.,
5	1	16	1	1	9	2600	5075	128	65	90.974663	Inc.
2	1	17	0	0	0	573	5183	1771	291	-1	
3	1	17	1	0	0	573	5183	1771	291	-1	
4	1	17	1	1	0	579	5183	1633	81	-1	
5	1	17	1	1	1	579	5183	397	67	91.161888	Distributed
5	1	17	1	1	2	1015	5212	58	37	91.559090	in
5	1	17	1	1	3	1107	5184	274	67	90.940094	Canada
5	1	17	1	1	4	1416	5184	74	69	93.275414	by
5	1	17	1	1	5	1525	5184	279	80	91.667824	Sterling
5	1	17	1	1	6	1838	5184	374	80	91.416534	Publishing
4	1	17	1	2	0	573	5294	1771	85	-1	
5	1	17	1	2	1	573	5327	68	20	36.622780	<o
5	1	17	1	2	2	669	5294	343	65	91.256653	Canadian
5	1	17	1	2	3	1052	5294	244	67	91.685455	Manda
5	1	17	1	2	4	1329	5300	249	79	91.924675	Group,
5	1	17	1	2	5	1626	5297	113	64	91.909286	165
5	1	17	1	2	6	1778	5294	298	68	88.314621	Dufferin
5	1	17	1	2	7	2111	5298	233	68	88.702332	Street,
4	1	17	1	3	0	595	5404	1330	70	-1	
5	1	17	1	3	1	595	5405	283	68	88.980240	[oronto,
5	1	17	1	3	2	913	5407	304	67	85.567833	Ontario,
5	1	17	1	3	3	1250	5404	274	67	91.621002	Canada
5	1	17	1	3	4	1562	5407	174	64	90.754608	M6K
5	1	17	1	3	5	1783	5406	142	65	85.387924	3H6
2	1	18	0	0	0	581	5513	2190	86	-1	
3	1	18	1	0	0	581	5513	2190	86	-1	
4	1	18	1	1	0	581	5513	2190	86	-1	
5	1	18	1	1	1	581	5513	397	67	85.085350	Distributed
5	1	18	1	1	2	1016	5524	59	55	85.085350	in
5	1	18	1	1	3	1109	5521	198	60	88.126091	Great
5	1	18	1	1	4	1347	5517	240	64	91.281418	Britain
5	1	18	1	1	5	1621	5515	75	81	93.298470	by
5	1	18	1	1	6	1728	5514	327	82	92.041618	Chrysalis
5	1	18	1	1	7	2089	5514	213	67	92.510796	Books
5	1	18	1	1	8	2332	5518	231	81	90.154259	Group
5	1	18	1	1	9	2597	5515	174	71	91.618767	PLC,
2	1	19	0	0	0	576	5622	2429	197	-1	
3	1	19	1	0	0	576	5622	2429	197	-1	
4	1	19	1	1	0	576	5622	2429	84	-1	
5	1	19	1	1	1	576	5622	140	66	88.488747	The
5	1	19	1	1	2	749	5623	323	66	90.905685	Chrysalis
5	1	19	1	1	3	1110	5624	311	76	90.776871	Building,
5	1	19	1	1	4	1460	5624	288	82	92.217659	Bramley
5	1	19	1	1	5	1784	5624	202	74	89.666313	Road,
5	1	19	1	1	6	2024	5624	275	68	91.449768	London
5	1	19	1	1	7	2333	5626	176	66	90.240616	W10
5	1	19	1	1	8	2538	5625	140	74	82.313797	6SP,
5	1	19	1	1	9	2713	5622	292	82	92.301086	England
4	1	19	1	2	0	582	5732	2295	87	-1	
5	1	19	1	2	1	582	5732	398	67	91.568069	Distributed
5	1	19	1	2	2	1017	5744	60	54	90.975288	in
5	1	19	1	2	3	1114	5734	320	66	90.548737	Australia
5	1	19	1	2	4	1470	5734	74	80	93.300072	by
5	1	19	1	2	5	1576	5739	362	80	92.101456	Capricorn
5	1	19	1	2	6	1975	5734	157	67	88.382599	Link
5	1	19	1	2	7	2172	5733	383	80	88.382599	(Australia)
5	1	19	1	2	8	2595	5735	110	80	85.612885	Pry
5	1	19	1	2	9	2741	5732	136	68	20.677475	Ltd.
2	1	20	0	0	0	579	5843	1631	295	-1	
3	1	20	1	0	0	579	5843	1631	295	-1	
4	1	20	1	1	0	582	5843	1628	71	-1	
5	1	20	1	1	1	582	5843	126	62	22.579826	PO,
5	1	20	1	1	2	750	5844	126	63	91.565216	Box
5	1	20	1	1	3	916	5845	144	68	92.969826	704,
5	1	20	1	1	4	1096	5843	313	71	89.876648	Windsor,
5	1	20	1	1	5	1446	5846	198	64	88.832420	NSW
5	1	20	1	1	6	1681	5846	171	68	93.139275	2756
5	1	20	1	1	7	1886	5844	324	67	91.823372	Australia
4	1	20	1	2	0	582	5951	962	69	-1	
5	1	20	1	2	1	582	5951	230	65	91.561790	Printed
5	1	20	1	2	2	844	5952	122	65	89.750870	and
5	1	20	1	2	3	1001	5952	216	66	76.057762	Bound
5	1	20	1	2	4	1249	5980	55	38	90.918678	in
5	1	20	1	2	5	1338	5953	206	67	89.639206	China
4	1	20	1	3	0	579	6059	606	79	-1	
5	1	20	1	3	1	579	6059	97	65	91.328491	All
5	1	20	1	3	2	712	6059	170	79	92.550758	rights
5	1	20	1	3	3	918	6062	267	66	92.642906	reserved
2	1	21	0	0	0	584	6278	1347	197	-1	
3	1	21	1	0	0	584	6278	1347	197	-1	
4	1	21	1	1	0	584	6278	1347	73	-1	
5	1	21	1	1	1	584	6278	274	73	77.723160	Sterling
5	1	21	1	1	2	919	6281	183	64	77.723160	ISBN
5	1	21	1	1	3	1139	6282	535	66	85.605247	0-8069-6203-8
5	1	21	1	1	4	1730	6281	201	68	90.859543	Trade
4	1	21	1	2	0	1139	6391	792	84	-1	
5	1	21	1	2	1	1139	6391	535	71	49.749542	0-8069-6317-4
5	1	21	1	2	2	1736	6392	195	83	92.245407	Paper
2	1	22	0	0	0	592	6749	2416	86	-1	
3	1	22	1	0	0	592	6749	2416	86	-1	
4	1	22	1	1	0	592	6749	2416	86	-1	
5	1	22	1	1	1	592	6751	108	62	91.238663	For
5	1	22	1	1	2	735	6750	416	66	87.705765	information
5	1	22	1	1	3	1187	6752	192	65	89.838623	about
5	1	22	1	1	4	1417	6775	255	43	89.264923	custom
5	1	22	1	1	5	1705	6751	303	73	89.264923	editions,
5	1	22	1	1	6	2042	6751	236	84	92.039330	special
5	1	22	1	1	7	2312	6751	181	75	92.729782	sales,
5	1	22	1	1	8	2527	6760	319	75	92.566109	premium
5	1	22	1	1	9	2878	6749	130	68	92.461906	and
2	1	23	0	0	0	594	6859	2088	88	-1	
3	1	23	1	0	0	594	6859	2088	88	-1	
4	1	23	1	1	0	594	6859	2088	88	-1	
5	1	23	1	1	1	594	6884	337	58	90.406235	corporate
5	1	23	1	1	2	962	6862	368	81	90.181076	purchases,
5	1	23	1	1	3	1365	6861	211	83	91.332291	please
5	1	23	1	1	4	1602	6884	267	44	91.679001	contact
5	1	23	1	1	5	1905	6859	278	79	92.219788	Sterling
5	1	23	1	1	6	2218	6862	252	85	91.273247	Special
5	1	23	1	1	7	2504	6861	178	68	92.625633	Sales
2	1	24	0	0	0	591	6972	2272	89	-1	
3	1	24	1	0	0	591	6972	2272	89	-1	
4	1	24	1	1	0	591	6972	2272	89	-1	
5	1	24	1	1	1	591	6972	428	81	90.653618	Department
5	1	24	1	1	2	1054	6997	56	41	88.936058	at
5	1	24	1	1	3	1149	6976	505	70	90.907059	800-805-5489
5	1	24	1	1	4	1684	7003	71	38	92.986549	or
5	1	24	1	1	5	1787	6976	1076	85	74.143227	specialsales(@sterlingpub.com
2	1	25	0	0	0	5500	54	14	76	-1	
3	1	25	1	0	0	5500	54	14	76	-1	
4	1	25	1	1	0	5500	54	14	76	-1	
5	1	25	1	1	1	5500	54	14	76	95.000000	 
2	1	26	0	0	0	5500	730	14	52	-1	
3	1	26	1	0	0	5500	730	14	52	-1	
4	1	26	1	1	0	5500	730	14	52	-1	
5	1	26	1	1	1	5500	730	14	52	95.000000	 
